Record_Origin,Industry_Sector,Job_Title,Location,Region,Top_In_Demand_Technologies_MI (80% Share),Derived_Skill_DNA_Tokens,Market_Demand_Share_Pct,Projected_Growth_Rate_2026_Pct,Timestamp_UTC
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, AUTOSAR, BATTERY MANAGEMENT SYSTEM",25,9,2026-05-16T19:22:44.628026+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Southeast Michigan,"Lithium-ion Platforms, Cloud Infrastructure Services","LITHIUM-ION, MATLAB, BATTERY MANAGEMENT SYSTEM",33,20,2026-05-16T19:22:44.628074+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Northwest Michigan,"Embedded c++ Platforms, Cloud Infrastructure Services","EMBEDDED C++, BATTERY MANAGEMENT SYSTEM, LITHIUM-ION",34,13,2026-05-16T19:22:44.628115+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",West Michigan,"Embedded c++ Platforms, Cloud Infrastructure Services","EMBEDDED C++, BATTERY MANAGEMENT SYSTEM, SIMULINK",33,26,2026-05-16T19:22:44.628159+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, HIGH VOLTAGE, SIMULINK",27,22,2026-05-16T19:22:44.628199+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, AUTOSAR, ISO 26262",21,21,2026-05-16T19:22:44.628247+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Southeast Michigan,"Battery management system Platforms, Cloud Infrastructure Services","BATTERY MANAGEMENT SYSTEM, LITHIUM-ION, SIMULINK",34,26,2026-05-16T19:22:44.628288+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"Embedded c++ Platforms, Cloud Infrastructure Services","EMBEDDED C++, BATTERY MANAGEMENT SYSTEM, ISO 26262",28,25,2026-05-16T19:22:44.628336+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, LITHIUM-ION, SIMULINK",17,12,2026-05-16T19:22:44.628376+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Southeast Michigan,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, ISO 26262, HIGH VOLTAGE",34,10,2026-05-16T19:22:44.628426+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"Matlab Platforms, Cloud Infrastructure Services","MATLAB, LITHIUM-ION, BATTERY MANAGEMENT SYSTEM",32,28,2026-05-16T19:22:44.628469+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, HIGH VOLTAGE, SIMULINK",30,14,2026-05-16T19:22:44.628514+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"Lithium-ion Platforms, Cloud Infrastructure Services","LITHIUM-ION, ISO 26262, MATLAB",30,26,2026-05-16T19:22:44.628556+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"Matlab Platforms, Cloud Infrastructure Services","MATLAB, SIMULINK, CAN BUS",32,24,2026-05-16T19:22:44.628600+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"Iso 26262 Platforms, Cloud Infrastructure Services","ISO 26262, MATLAB, BATTERY MANAGEMENT SYSTEM",31,14,2026-05-16T19:22:44.628641+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","ISO 26262, BMS, SIMULINK",32,24,2026-05-16T19:22:44.628685+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",West Michigan,"Matlab Platforms, Cloud Infrastructure Services","MATLAB, SIMULINK, AUTOSAR",19,23,2026-05-16T19:22:44.628725+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Northwest Michigan,"Matlab Platforms, Cloud Infrastructure Services","MATLAB, ISO 26262, EMBEDDED C++",24,17,2026-05-16T19:22:44.628770+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Southeast Michigan,"Matlab Platforms, Cloud Infrastructure Services","MATLAB, EMBEDDED C++, BATTERY MANAGEMENT SYSTEM",23,26,2026-05-16T19:22:44.628823+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","ISO 26262, BMS, BATTERY MANAGEMENT SYSTEM",29,23,2026-05-16T19:22:44.628873+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Southeast Michigan,"Embedded c++ Platforms, Cloud Infrastructure Services","EMBEDDED C++, MATLAB, SIMULINK",18,8,2026-05-16T19:22:44.628914+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"Battery management system Platforms, Cloud Infrastructure Services","BATTERY MANAGEMENT SYSTEM, AUTOSAR, MATLAB",17,13,2026-05-16T19:22:44.628958+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"Simulink Platforms, Cloud Infrastructure Services","SIMULINK, BATTERY MANAGEMENT SYSTEM, AUTOSAR",16,25,2026-05-16T19:22:44.628999+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","HIGH VOLTAGE, BMS, LITHIUM-ION",17,24,2026-05-16T19:22:44.629049+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, AUTOSAR, ISO 26262",35,19,2026-05-16T19:22:44.629094+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, AUTOSAR, SIMULINK",28,15,2026-05-16T19:22:44.629140+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, CAN BUS, BATTERY MANAGEMENT SYSTEM",21,22,2026-05-16T19:22:44.629181+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"Lithium-ion Platforms, Cloud Infrastructure Services","LITHIUM-ION, EMBEDDED C++, HIGH VOLTAGE",26,14,2026-05-16T19:22:44.629225+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Northwest Michigan,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, HIGH VOLTAGE, ISO 26262",35,21,2026-05-16T19:22:44.629266+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Northwest Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","ISO 26262, BMS, LITHIUM-ION",15,8,2026-05-16T19:22:44.629310+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","LITHIUM-ION, BMS, HIGH VOLTAGE",26,24,2026-05-16T19:22:44.629350+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, SIMULINK, AUTOSAR",20,24,2026-05-16T19:22:44.629398+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BATTERY MANAGEMENT SYSTEM, BMS, AUTOSAR",19,27,2026-05-16T19:22:44.629438+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"Matlab Platforms, Cloud Infrastructure Services","MATLAB, HIGH VOLTAGE, LITHIUM-ION",31,22,2026-05-16T19:22:44.629482+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, BATTERY MANAGEMENT SYSTEM, LITHIUM-ION",35,10,2026-05-16T19:22:44.629526+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"Battery management system Platforms, Cloud Infrastructure Services","BATTERY MANAGEMENT SYSTEM, ISO 26262, LITHIUM-ION",23,8,2026-05-16T19:22:44.629571+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"Lithium-ion Platforms, Cloud Infrastructure Services","LITHIUM-ION, CAN BUS, EMBEDDED C++",20,15,2026-05-16T19:22:44.629615+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Northwest Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, SIMULINK, CAN BUS",24,11,2026-05-16T19:22:44.629661+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Southeast Michigan,"Battery management system Platforms, Cloud Infrastructure Services","BATTERY MANAGEMENT SYSTEM, LITHIUM-ION, SIMULINK",18,14,2026-05-16T19:22:44.629709+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","LITHIUM-ION, BMS, CAN BUS",27,24,2026-05-16T19:22:44.629754+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, ISO 26262, EMBEDDED C++",35,9,2026-05-16T19:22:44.629794+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","SIMULINK, LITHIUM-ION, BMS",24,28,2026-05-16T19:22:44.629857+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",West Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, BATTERY MANAGEMENT SYSTEM, HIGH VOLTAGE",18,10,2026-05-16T19:22:44.629898+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, BATTERY MANAGEMENT SYSTEM, EMBEDDED C++",19,27,2026-05-16T19:22:44.629943+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, AUTOSAR, SIMULINK",30,18,2026-05-16T19:22:44.629983+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","CAN BUS, BMS, EMBEDDED C++",16,15,2026-05-16T19:22:44.630027+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Northwest Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","ISO 26262, BMS, BATTERY MANAGEMENT SYSTEM",21,12,2026-05-16T19:22:44.630068+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Southeast Michigan,"Iso 26262 Platforms, Cloud Infrastructure Services","ISO 26262, MATLAB, SIMULINK",17,22,2026-05-16T19:22:44.630112+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","AUTOSAR, HIGH VOLTAGE, BMS",35,22,2026-05-16T19:22:44.630155+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"Embedded c++ Platforms, Cloud Infrastructure Services","EMBEDDED C++, SIMULINK, HIGH VOLTAGE",20,16,2026-05-16T19:22:44.630200+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"Battery management system Platforms, Cloud Infrastructure Services","BATTERY MANAGEMENT SYSTEM, SIMULINK, EMBEDDED C++",32,13,2026-05-16T19:22:44.630241+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, CAN BUS, EMBEDDED C++",16,21,2026-05-16T19:22:44.630286+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Southeast Michigan,"Battery management system Platforms, Cloud Infrastructure Services","BATTERY MANAGEMENT SYSTEM, EMBEDDED C++, AUTOSAR",18,15,2026-05-16T19:22:44.630326+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, SIMULINK, EMBEDDED C++",19,23,2026-05-16T19:22:44.630371+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, HIGH VOLTAGE, SIMULINK",18,17,2026-05-16T19:22:44.630416+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, MATLAB, AUTOSAR",24,15,2026-05-16T19:22:44.630461+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"Embedded c++ Platforms, Cloud Infrastructure Services","EMBEDDED C++, CAN BUS, MATLAB",23,24,2026-05-16T19:22:44.630503+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BATTERY MANAGEMENT SYSTEM, ISO 26262, BMS",29,18,2026-05-16T19:22:44.630547+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, AUTOSAR, BATTERY MANAGEMENT SYSTEM",31,25,2026-05-16T19:22:44.630591+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, BATTERY MANAGEMENT SYSTEM, ISO 26262",27,24,2026-05-16T19:22:44.630636+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, BATTERY MANAGEMENT SYSTEM, SIMULINK",20,15,2026-05-16T19:22:44.630683+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"Matlab Platforms, Cloud Infrastructure Services","MATLAB, CAN BUS, LITHIUM-ION",15,11,2026-05-16T19:22:44.630728+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, BATTERY MANAGEMENT SYSTEM, MATLAB",24,14,2026-05-16T19:22:44.630770+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",West Michigan,"Embedded c++ Platforms, Cloud Infrastructure Services","EMBEDDED C++, MATLAB, ISO 26262",23,8,2026-05-16T19:22:44.630823+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"Battery management system Platforms, Cloud Infrastructure Services","BATTERY MANAGEMENT SYSTEM, HIGH VOLTAGE, EMBEDDED C++",28,21,2026-05-16T19:22:44.630869+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, AUTOSAR, SIMULINK",21,16,2026-05-16T19:22:44.630913+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Northwest Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, CAN BUS, MATLAB",18,19,2026-05-16T19:22:44.630954+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BATTERY MANAGEMENT SYSTEM, BMS, SIMULINK",32,26,2026-05-16T19:22:44.630998+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Northwest Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, LITHIUM-ION, SIMULINK",33,20,2026-05-16T19:22:44.631038+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","HIGH VOLTAGE, BMS, LITHIUM-ION",20,16,2026-05-16T19:22:44.631082+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"Battery management system Platforms, Cloud Infrastructure Services","BATTERY MANAGEMENT SYSTEM, SIMULINK, MATLAB",20,13,2026-05-16T19:22:44.631123+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"Matlab Platforms, Cloud Infrastructure Services","MATLAB, AUTOSAR, CAN BUS",25,27,2026-05-16T19:22:44.631167+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, LITHIUM-ION, SIMULINK",32,21,2026-05-16T19:22:44.631207+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, ISO 26262, BATTERY MANAGEMENT SYSTEM",17,17,2026-05-16T19:22:44.631252+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Northwest Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, HIGH VOLTAGE, SIMULINK",30,10,2026-05-16T19:22:44.631295+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Northwest Michigan,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, HIGH VOLTAGE, MATLAB",16,25,2026-05-16T19:22:44.631342+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","LITHIUM-ION, BMS, AUTOSAR",23,27,2026-05-16T19:22:44.631382+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","LITHIUM-ION, HIGH VOLTAGE, BMS",32,10,2026-05-16T19:22:44.631427+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","EMBEDDED C++, BMS, ISO 26262",29,24,2026-05-16T19:22:44.631467+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Upper Peninsula,"Embedded c++ Platforms, Cloud Infrastructure Services","EMBEDDED C++, AUTOSAR, SIMULINK",29,28,2026-05-16T19:22:44.631512+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Northwest Michigan,"Iso 26262 Platforms, Cloud Infrastructure Services","ISO 26262, LITHIUM-ION, MATLAB",16,11,2026-05-16T19:22:44.631552+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"Iso 26262 Platforms, Cloud Infrastructure Services","ISO 26262, EMBEDDED C++, LITHIUM-ION",20,8,2026-05-16T19:22:44.631596+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",Southeast Michigan,"Matlab Platforms, Cloud Infrastructure Services","MATLAB, ISO 26262, CAN BUS",30,25,2026-05-16T19:22:44.631637+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",East Michigan,"Matlab Platforms, Cloud Infrastructure Services","MATLAB, AUTOSAR, BATTERY MANAGEMENT SYSTEM",25,17,2026-05-16T19:22:44.631681+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",North East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","EMBEDDED C++, BMS, ISO 26262",17,20,2026-05-16T19:22:44.631721+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Principal EV Battery Software Engineer Specialist,"Michigan, USA",West Michigan,"Iso 26262 Platforms, Cloud Infrastructure Services","ISO 26262, SIMULINK, CAN BUS",31,25,2026-05-16T19:22:44.631765+00:00
