Record_Origin,Industry_Sector,Job_Title,Location,Region,Top_In_Demand_Technologies_MI (80% Share),Derived_Skill_DNA_Tokens,Market_Demand_Share_Pct,Projected_Growth_Rate_2026_Pct,Timestamp_UTC
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",Southeast Michigan,AUTOSAR & ISO 26262 Frameworks,"['Drivetrain Integration', 'Embedded C++', 'LIN Bus', 'Matlab']",17,18,2026-05-16T19:13:21.158611+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Southeast Michigan,High Voltage Power Electronics Architecture,"['ISO 26262', 'LIN Bus', 'Power Electronics', 'Thermal Management']",22,23,2026-05-16T19:13:21.158618+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",North East Michigan,High Voltage Power Electronics Architecture,"['Drivetrain Integration', 'ISO 26262', 'LIN Bus', 'Simulink']",18,8,2026-05-16T19:13:21.158625+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Southeast Michigan,AUTOSAR & ISO 26262 Frameworks,"['BMS', 'Drivetrain Integration', 'Embedded C++', 'LIN Bus']",15,26,2026-05-16T19:13:21.158632+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",South Central Michigan,"BMS Integration, Allen-Bradley Studio 5000","['AUTOSAR', 'Drivetrain Integration', 'High Voltage', 'LIN Bus']",18,14,2026-05-16T19:13:21.158639+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Northwest Michigan,"BMS Integration, Allen-Bradley Studio 5000","['Drivetrain Integration', 'Lithium-ion Safety', 'Matlab', 'Power Electronics']",27,27,2026-05-16T19:13:21.158646+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",Northwest Michigan,AUTOSAR & ISO 26262 Frameworks,"['Drivetrain Integration', 'Embedded C++', 'LIN Bus', 'Thermal Management']",30,23,2026-05-16T19:13:21.158653+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",South Central Michigan,AUTOSAR & ISO 26262 Frameworks,"['BMS', 'CAN Bus', 'Embedded C++', 'High Voltage']",34,21,2026-05-16T19:13:21.158660+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",East Michigan,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'Drivetrain Integration', 'Thermal Management', 'UDS']",25,18,2026-05-16T19:13:21.158668+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",South Central Michigan,"BMS Integration, Allen-Bradley Studio 5000","['CAN Bus', 'Embedded C++', 'ISO 26262', 'Simulink']",26,20,2026-05-16T19:13:21.158675+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",North East Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'High Voltage', 'LIN Bus', 'Power Electronics']",16,19,2026-05-16T19:13:21.158689+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",South Central Michigan,AUTOSAR & ISO 26262 Frameworks,"['LIN Bus', 'Matlab', 'Simulink', 'UDS']",18,8,2026-05-16T19:13:21.158698+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",North East Michigan,High Voltage Power Electronics Architecture,"['BMS', 'Embedded C++', 'ISO 26262', 'Thermal Management']",27,12,2026-05-16T19:13:21.158706+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",Southeast Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'Drivetrain Integration', 'ISO 26262', 'Matlab']",18,24,2026-05-16T19:13:21.158713+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['BMS', 'CAN Bus', 'Embedded C++', 'UDS']",22,19,2026-05-16T19:13:21.158720+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",North East Michigan,High Voltage Power Electronics Architecture,"['Embedded C++', 'High Voltage', 'ISO 26262', 'UDS']",30,24,2026-05-16T19:13:21.158727+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",North East Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'BMS', 'CAN Bus', 'Embedded C++']",21,8,2026-05-16T19:13:21.158734+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Upper Peninsula,AUTOSAR & ISO 26262 Frameworks,"['High Voltage', 'LIN Bus', 'Lithium-ion Safety', 'Simulink']",15,28,2026-05-16T19:13:21.158749+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000","['AUTOSAR', 'Drivetrain Integration', 'Simulink', 'Thermal Management']",25,22,2026-05-16T19:13:21.158758+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",West Michigan,High Voltage Power Electronics Architecture,"['ISO 26262', 'LIN Bus', 'Power Electronics', 'Thermal Management']",30,20,2026-05-16T19:13:21.158765+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",Upper Peninsula,High Voltage Power Electronics Architecture,"['BMS', 'ISO 26262', 'Lithium-ion Safety', 'UDS']",17,19,2026-05-16T19:13:21.158772+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",North East Michigan,AUTOSAR & ISO 26262 Frameworks,"['Embedded C++', 'ISO 26262', 'LIN Bus', 'Matlab']",18,20,2026-05-16T19:13:21.158780+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['BMS', 'Embedded C++', 'Thermal Management', 'UDS']",21,12,2026-05-16T19:13:21.158787+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",South Central Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'CAN Bus', 'Drivetrain Integration', 'Lithium-ion Safety']",33,24,2026-05-16T19:13:21.158802+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000","['AUTOSAR', 'CAN Bus', 'ISO 26262', 'Lithium-ion Safety']",30,10,2026-05-16T19:13:21.158811+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['BMS', 'Drivetrain Integration', 'Embedded C++', 'Matlab']",32,22,2026-05-16T19:13:21.158818+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",West Michigan,AUTOSAR & ISO 26262 Frameworks,"['BMS', 'CAN Bus', 'LIN Bus', 'Power Electronics']",18,23,2026-05-16T19:13:21.158826+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Upper Peninsula,High Voltage Power Electronics Architecture,"['High Voltage', 'ISO 26262', 'Matlab', 'UDS']",22,15,2026-05-16T19:13:21.158833+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",West Michigan,"BMS Integration, Allen-Bradley Studio 5000","['Drivetrain Integration', 'High Voltage', 'Thermal Management', 'UDS']",17,11,2026-05-16T19:13:21.158840+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",North East Michigan,High Voltage Power Electronics Architecture,"['Matlab', 'Power Electronics', 'Simulink', 'Thermal Management']",15,13,2026-05-16T19:13:21.158847+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",East Michigan,AUTOSAR & ISO 26262 Frameworks,"['High Voltage', 'Matlab', 'Thermal Management', 'UDS']",23,15,2026-05-16T19:13:21.158854+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",Upper Peninsula,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'LIN Bus', 'Matlab', 'Simulink']",30,11,2026-05-16T19:13:21.158862+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",Upper Peninsula,"BMS Integration, Allen-Bradley Studio 5000","['High Voltage', 'ISO 26262', 'Matlab', 'Power Electronics']",32,28,2026-05-16T19:13:21.158869+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",Upper Peninsula,AUTOSAR & ISO 26262 Frameworks,"['BMS', 'ISO 26262', 'LIN Bus', 'Simulink']",17,18,2026-05-16T19:13:21.158876+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",South Central Michigan,"BMS Integration, Allen-Bradley Studio 5000","['CAN Bus', 'Drivetrain Integration', 'Embedded C++', 'Matlab']",33,27,2026-05-16T19:13:21.158891+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",Southeast Michigan,High Voltage Power Electronics Architecture,"['Drivetrain Integration', 'Embedded C++', 'High Voltage', 'Simulink']",25,20,2026-05-16T19:13:21.158900+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",Upper Peninsula,High Voltage Power Electronics Architecture,"['AUTOSAR', 'BMS', 'CAN Bus', 'Lithium-ion Safety']",27,28,2026-05-16T19:13:21.158914+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Upper Peninsula,High Voltage Power Electronics Architecture,"['BMS', 'Power Electronics', 'Thermal Management', 'UDS']",28,15,2026-05-16T19:13:21.158923+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",West Michigan,AUTOSAR & ISO 26262 Frameworks,"['CAN Bus', 'High Voltage', 'Matlab', 'Simulink']",18,17,2026-05-16T19:13:21.158931+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000","['BMS', 'Drivetrain Integration', 'High Voltage', 'Power Electronics']",17,18,2026-05-16T19:13:21.158938+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",Upper Peninsula,High Voltage Power Electronics Architecture,"['CAN Bus', 'Drivetrain Integration', 'ISO 26262', 'Thermal Management']",21,11,2026-05-16T19:13:21.158945+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",Northwest Michigan,AUTOSAR & ISO 26262 Frameworks,"['BMS', 'Embedded C++', 'Power Electronics', 'Simulink']",19,18,2026-05-16T19:13:21.158952+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",North East Michigan,High Voltage Power Electronics Architecture,"['BMS', 'High Voltage', 'ISO 26262', 'UDS']",15,17,2026-05-16T19:13:21.158959+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",Southeast Michigan,High Voltage Power Electronics Architecture,"['BMS', 'Embedded C++', 'ISO 26262', 'Lithium-ion Safety']",32,14,2026-05-16T19:13:21.158966+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",South Central Michigan,AUTOSAR & ISO 26262 Frameworks,"['Embedded C++', 'ISO 26262', 'Matlab', 'UDS']",28,18,2026-05-16T19:13:21.158973+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",South Central Michigan,AUTOSAR & ISO 26262 Frameworks,"['Embedded C++', 'ISO 26262', 'LIN Bus', 'Lithium-ion Safety']",19,24,2026-05-16T19:13:21.158980+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",Upper Peninsula,High Voltage Power Electronics Architecture,"['ISO 26262', 'LIN Bus', 'Lithium-ion Safety', 'Thermal Management']",33,15,2026-05-16T19:13:21.158987+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",Southeast Michigan,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'BMS', 'LIN Bus', 'Thermal Management']",15,25,2026-05-16T19:13:21.158994+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",South Central Michigan,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'BMS', 'High Voltage', 'LIN Bus']",25,12,2026-05-16T19:13:21.159001+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",South Central Michigan,AUTOSAR & ISO 26262 Frameworks,"['Drivetrain Integration', 'Embedded C++', 'Lithium-ion Safety', 'Power Electronics']",22,23,2026-05-16T19:13:21.159018+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",Upper Peninsula,AUTOSAR & ISO 26262 Frameworks,"['Embedded C++', 'High Voltage', 'Power Electronics', 'Simulink']",19,27,2026-05-16T19:13:21.159027+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000","['ISO 26262', 'Lithium-ion Safety', 'Matlab', 'UDS']",16,27,2026-05-16T19:13:21.159035+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",East Michigan,AUTOSAR & ISO 26262 Frameworks,"['CAN Bus', 'Drivetrain Integration', 'High Voltage', 'ISO 26262']",31,11,2026-05-16T19:13:21.159043+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['CAN Bus', 'Drivetrain Integration', 'Lithium-ion Safety', 'UDS']",33,23,2026-05-16T19:13:21.159050+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",Upper Peninsula,"BMS Integration, Allen-Bradley Studio 5000","['AUTOSAR', 'ISO 26262', 'Matlab', 'UDS']",30,17,2026-05-16T19:13:21.159057+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",Upper Peninsula,AUTOSAR & ISO 26262 Frameworks,"['LIN Bus', 'Power Electronics', 'Thermal Management', 'UDS']",16,18,2026-05-16T19:13:21.159064+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",West Michigan,High Voltage Power Electronics Architecture,"['BMS', 'High Voltage', 'Simulink', 'UDS']",21,15,2026-05-16T19:13:21.159071+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",Upper Peninsula,High Voltage Power Electronics Architecture,"['Drivetrain Integration', 'ISO 26262', 'LIN Bus', 'UDS']",16,13,2026-05-16T19:13:21.159078+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",South Central Michigan,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'CAN Bus', 'Embedded C++', 'Simulink']",27,17,2026-05-16T19:13:21.159086+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",South Central Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'BMS', 'CAN Bus', 'Drivetrain Integration']",20,8,2026-05-16T19:13:21.159101+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",Northwest Michigan,AUTOSAR & ISO 26262 Frameworks,"['BMS', 'CAN Bus', 'Lithium-ion Safety', 'Simulink']",25,21,2026-05-16T19:13:21.159222+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",Upper Peninsula,AUTOSAR & ISO 26262 Frameworks,"['Drivetrain Integration', 'Embedded C++', 'Lithium-ion Safety', 'Simulink']",26,20,2026-05-16T19:13:21.159230+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",North East Michigan,"BMS Integration, Allen-Bradley Studio 5000","['Embedded C++', 'High Voltage', 'ISO 26262', 'Thermal Management']",31,17,2026-05-16T19:13:21.159237+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['CAN Bus', 'Embedded C++', 'Power Electronics', 'UDS']",21,25,2026-05-16T19:13:21.159256+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",North East Michigan,"BMS Integration, Allen-Bradley Studio 5000","['Embedded C++', 'LIN Bus', 'Matlab', 'Power Electronics']",19,18,2026-05-16T19:13:21.159265+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",South Central Michigan,High Voltage Power Electronics Architecture,"['BMS', 'CAN Bus', 'LIN Bus', 'Lithium-ion Safety']",16,17,2026-05-16T19:13:21.159273+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",North East Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'Lithium-ion Safety', 'Matlab', 'UDS']",20,26,2026-05-16T19:13:21.159280+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",West Michigan,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'BMS', 'Drivetrain Integration', 'Simulink']",30,17,2026-05-16T19:13:21.159287+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",West Michigan,"BMS Integration, Allen-Bradley Studio 5000","['BMS', 'High Voltage', 'ISO 26262', 'Power Electronics']",21,14,2026-05-16T19:13:21.159295+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",Upper Peninsula,High Voltage Power Electronics Architecture,"['BMS', 'High Voltage', 'Lithium-ion Safety', 'Power Electronics']",15,19,2026-05-16T19:13:21.159302+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Upper Peninsula,High Voltage Power Electronics Architecture,"['High Voltage', 'Matlab', 'Power Electronics', 'Simulink']",18,12,2026-05-16T19:13:21.159309+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",North East Michigan,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'LIN Bus', 'Simulink', 'Thermal Management']",20,9,2026-05-16T19:13:21.159317+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",Southeast Michigan,AUTOSAR & ISO 26262 Frameworks,"['Drivetrain Integration', 'LIN Bus', 'Simulink', 'UDS']",30,13,2026-05-16T19:13:21.159324+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000","['Drivetrain Integration', 'High Voltage', 'Lithium-ion Safety', 'Matlab']",31,28,2026-05-16T19:13:21.159331+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['CAN Bus', 'High Voltage', 'Matlab', 'UDS']",28,12,2026-05-16T19:13:21.159339+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",Upper Peninsula,High Voltage Power Electronics Architecture,"['CAN Bus', 'Drivetrain Integration', 'Lithium-ion Safety', 'UDS']",27,15,2026-05-16T19:13:21.159346+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000","['BMS', 'CAN Bus', 'LIN Bus', 'Thermal Management']",22,20,2026-05-16T19:13:21.159360+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",North East Michigan,AUTOSAR & ISO 26262 Frameworks,"['BMS', 'Lithium-ion Safety', 'Power Electronics', 'Simulink']",34,13,2026-05-16T19:13:21.159369+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",Upper Peninsula,High Voltage Power Electronics Architecture,"['AUTOSAR', 'High Voltage', 'ISO 26262', 'Lithium-ion Safety']",27,10,2026-05-16T19:13:21.159377+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",South Central Michigan,AUTOSAR & ISO 26262 Frameworks,"['Embedded C++', 'High Voltage', 'Lithium-ion Safety', 'Power Electronics']",35,20,2026-05-16T19:13:21.159384+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['CAN Bus', 'Drivetrain Integration', 'High Voltage', 'UDS']",35,22,2026-05-16T19:13:21.159391+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000","['AUTOSAR', 'BMS', 'High Voltage', 'LIN Bus']",18,11,2026-05-16T19:13:21.159398+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000","['AUTOSAR', 'LIN Bus', 'Lithium-ion Safety', 'UDS']",30,28,2026-05-16T19:13:21.159406+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",Upper Peninsula,High Voltage Power Electronics Architecture,"['AUTOSAR', 'Drivetrain Integration', 'Matlab', 'UDS']",22,8,2026-05-16T19:13:21.159413+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",Northwest Michigan,High Voltage Power Electronics Architecture,"['Drivetrain Integration', 'Embedded C++', 'Power Electronics', 'UDS']",33,23,2026-05-16T19:13:21.159420+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['Drivetrain Integration', 'High Voltage', 'Simulink', 'Thermal Management']",18,26,2026-05-16T19:13:21.159427+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",West Michigan,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'Drivetrain Integration', 'High Voltage', 'Power Electronics']",30,28,2026-05-16T19:13:21.159434+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Upper Peninsula,AUTOSAR & ISO 26262 Frameworks,"['BMS', 'ISO 26262', 'Power Electronics', 'UDS']",24,26,2026-05-16T19:13:21.159441+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",West Michigan,"BMS Integration, Allen-Bradley Studio 5000","['BMS', 'High Voltage', 'Simulink', 'UDS']",25,10,2026-05-16T19:13:21.159448+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",Upper Peninsula,High Voltage Power Electronics Architecture,"['AUTOSAR', 'Drivetrain Integration', 'Embedded C++', 'Lithium-ion Safety']",20,20,2026-05-16T19:13:21.159463+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",South Central Michigan,High Voltage Power Electronics Architecture,"['High Voltage', 'Power Electronics', 'Simulink', 'UDS']",15,20,2026-05-16T19:13:21.159472+00:00
